,0,1
151,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/O09114
161,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/Q36290
162,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/Q3V2T7
163,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/Q3V2F9
164,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/Q7JCZ3
165,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/Q3TNL9
166,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/Q4JFN6
167,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/Q8C1H5
169,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/A2AEG3
170,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/A2AEG6
171,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/H3BIV8
172,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/P35803
173,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/Q3V0Z9
174,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/Q3US81
175,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/P04370
176,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/D3Z6U4
177,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/F6TYB7
178,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/F6RT34
179,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/F6VME3
180,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/F6ZIA4
181,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/F7A0B0
182,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/F6RWW8
183,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/Q09J72
184,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/Q3UGF3
185,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/Q542T4
186,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/Q5D096
187,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/P28661
188,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/Q5ND13
189,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/Q5ND18
190,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/Q5ND09
191,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/Q9QX47
192,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/F7CU80
193,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/H9KV01
194,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/H9KV15
195,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/H9KV02
196,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/H9KV00
197,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/Q80TM4
198,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/Q8BM30
199,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/Q8BS91
200,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/Q8C9T5
201,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/D3YWW9
202,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/Q3TPW8
203,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/Q3TYC4
204,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/Q3TPH5
205,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/Q80U82
206,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/Q9R0N3
207,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/Q8QZS8
208,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/S4R1M8
209,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/Q3TYP4
212,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/A0A0G2JDA6
213,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/Q9CPQ1
214,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/P97370
215,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/Q1WWL1
216,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/Q3U9D4
217,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/Q3UFH4
218,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/Q544Q7
219,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/A0A0G2JF52
220,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/D3YVI5
221,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/Q9R0Q6
222,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/Q8CHH9
223,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/B1AQZ0
224,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/B1AQY9
225,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/B7ZC46
